MD5,TAG,FILENAMES
242ff835c5382d6400848bfa44fc0860,S,"['s1-1_035_5-n.S.obj', 's1-1_041-n.S.obj', 's1-3_091-n.S.obj']"
d29438d339da067f2faaa34ce1f67718,S,"['s1-1_035_6-n.S.obj', 's1-1_039-n.S.obj', 's1-3_090-n.S.obj']"
24f4ca10ba972e3b170dea84c5a719a7,F,['s1-1_037-n.F.obj']
57ca09836b9ed2ee3a4da1173e0744f8,L,['s1-1_037-n.L.obj']
64704b8d810b1c8090065ed25c7e1976,M,['s1-1_037-n.M.obj']
fda6481611eaccd3b5c57d5a5cf27589,T,['s1-1_037-n.T.obj']
9a27f01baa39d2fdf9297eee4d4a48d4,F,['s1-1_039-n.F.obj']
27b00dc3fb3a8545b5431b8716348188,L,['s1-1_039-n.L.obj']
2aac3ab7ec92e2ec3a2a3f77b70cd403,M,['s1-1_039-n.M.obj']
282220a96a96d0d6a6bdc3acdd9e4318,T,['s1-1_039-n.T.obj']
226b1c1693b6b6310a88db037fd4d937,F,['s1-1_041-n.F.obj']
862dd3d2060df68280e327c3f3433c1c,L,['s1-1_041-n.L.obj']
c000ae64daead0fb5a6214d8a05e632d,M,['s1-1_041-n.M.obj']
84dd25629b1b708d8bd3b5c2aaf7d11b,T,['s1-1_041-n.T.obj']
d157a5a8df5da83aef3a66bc70d63682,F,['s1-1_043-n.F.obj']
3af18ecdad087df9768706dceb46d300,L,['s1-1_043-n.L.obj']
f0b539d72de55eae47c6c8da67b66970,M,['s1-1_043-n.M.obj']
af4c6e3348ef7196e5432607c170a2a4,T,['s1-1_043-n.T.obj']
dc9a18a6750e40deaaa5658a4fcee875,F,['s1-1_045-n.F.obj']
d98bacb8f66c662cba8fad8fe88d72f6,L,['s1-1_045-n.L.obj']
5c5351ef1656b3e76dd6bffec1e49394,M,['s1-1_045-n.M.obj']
a1f1e157ab6e63bd7dfd58be4a9ff7af,T,['s1-1_045-n.T.obj']
b02caddf657e1c5ab24de2da5852ba0e,F,['s1-1_047-n.F.obj']
0f2d21ded7ff5bb89ffff93b8bb11136,L,['s1-1_047-n.L.obj']
5341e660155fef7866eb82058b713478,M,['s1-1_047-n.M.obj']
3b2da75c8950bb8e33361e73c5158eb2,S,['s1-1_047-n.S.obj']
5877d64a47a812dd1f62ce90a079dea2,T,['s1-1_047-n.T.obj']
ec064253105ce8fdd6b12cf9e29f7c38,S,"['s1-1_047_2-n.S.obj', 's1-1_055-n.S.obj', 's1-3_094-n.S.obj']"
a48e4a2596658e17ede55723c2da6b3f,S,"['s1-1_047_3-n.S.obj', 's1-1_051-n.S.obj']"
ced4cebdd79fc8fa64fa1501c9651461,S,"['s1-1_047_4-n.S.obj', 's1-1_053-n.S.obj']"
f2e5199c8fd96317839a49d1b845d5b4,S,"['s1-1_047_5-n.S.obj', 's1-1_049-n.S.obj', 's1-3_093-n.S.obj']"
52ba6bcf060a569e47e737913a0eaea8,S,"['s1-1_047_6-n.S.obj', 's1-1_057-n.S.obj', 's1-3_097-n.S.obj']"
1536f3a807800670d03c34e99de357e0,F,['s1-1_049-n.F.obj']
511e37b5aaa57d18e4c2150f2ff53d9d,L,['s1-1_049-n.L.obj']
79fb516d7d41ff26f577d4f10d4ad78e,M,['s1-1_049-n.M.obj']
10c185a30c9f4cd4a0260ff7b57bbd6c,T,['s1-1_049-n.T.obj']
3f4ebeeb4f7b2411fb238d1e18dc3398,F,['s1-1_051-n.F.obj']
6136a00e4539e09ee8cdc502e4bc54cc,L,['s1-1_051-n.L.obj']
7936e684e48e20f1d87b45da96fd59fe,M,['s1-1_051-n.M.obj']
65946b6f554f596d01ebef52069600aa,T,['s1-1_051-n.T.obj']
4ec2734a2589de5c725ea7b3a2b21642,F,['s1-1_053-n.F.obj']
de475cc9d7a65d51419de46f7ef696ab,L,['s1-1_053-n.L.obj']
57f9ca25b456b811141e077541d55aef,M,['s1-1_053-n.M.obj']
1ef11de613d881e4940ede7bbc4265ba,T,['s1-1_053-n.T.obj']
56c233342fd3ea13cc246831fa7561f2,F,['s1-1_055-n.F.obj']
9daca1b5bb971eb3e300517f8919dced,L,['s1-1_055-n.L.obj']
